"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Breyvic Valera","- - -",".223","1","8.7 %","14.5 %",".294","16.8 %","41.6 %","41.6 %","62","94.7 %","91.0 %","43.7 %","4.3 %","8.7 %","10.3 %","13.6 %","-1.06","-3.86","-3.34","0.45","0.35","26.7 %","58.1 %","42.5 %","86.8 %","94.0 %","91.8 %","38.1 %","35.2 %","26.7 %","12758"
"Tyler Holt","- - -",".214","0","10.7 %","24.4 %",".305","23.6 %","51.4 %","25.0 %","57","82.4 %","76.9 %","37.6 %","6.2 %","14.8 %","8.4 %","7.0 %","-0.92","-5.49","-2.85","-1.22","-0.73","28.3 %","59.5 %","43.6 %","66.4 %","82.4 %","77.1 %","26.5 %","36.8 %","36.8 %","11391"
"Michael Hermosillo","Angels",".183","1","7.4 %","33.3 %",".287","17.9 %","46.4 %","35.7 %","64","80.5 %","66.5 %","27.8 %","7.7 %","18.8 %","9.6 %","12.4 %","-1.55","-3.70","2.77","0.13","-2.33","28.4 %","62.2 %","44.1 %","43.7 %","78.5 %","66.5 %","53.5 %","20.7 %","25.9 %","16285"
"Austin Hedges","Padres",".201","46","6.2 %","28.9 %",".257","18.9 %","37.0 %","44.1 %","62","81.8 %","70.7 %","35.3 %","6.0 %","19.9 %","11.0 %","6.8 %","-1.12","-0.55","-2.06","-1.48","-2.33","36.9 %","67.3 %","51.2 %","52.6 %","81.7 %","70.6 %","44.7 %","33.7 %","21.6 %","12976"
"Eric Young Jr.","- - -",".210","5","5.0 %","22.8 %",".271","18.9 %","54.4 %","26.7 %","63","81.7 %","75.5 %","42.0 %","5.4 %","9.3 %","8.1 %","11.7 %","-0.45","-2.06","2.65","-3.90","-3.77","27.6 %","68.9 %","49.4 %","56.1 %","82.2 %","75.3 %","38.9 %","36.8 %","24.4 %","7158"
"Andrew Susac","- - -",".197","4","7.8 %","32.2 %",".263","18.9 %","41.0 %","40.2 %","64","75.6 %","68.6 %","36.7 %","6.7 %","14.9 %","5.7 %","12.3 %","-2.00","3.55","-1.26","-0.22","1.67","20.5 %","69.2 %","44.9 %","54.9 %","73.1 %","69.0 %","40.2 %","36.1 %","23.8 %","13132"
"Josh Fuentes","Rockies",".218","3","1.8 %","35.7 %",".232","20.0 %","45.7 %","34.3 %","43","66.2 %","64.1 %","45.6 %","4.6 %","17.5 %","11.5 %","6.0 %","-1.93","3.57","5.04","1.31","-11.48","43.0 %","73.6 %","58.5 %","52.2 %","70.4 %","63.8 %","51.4 %","31.4 %","17.1 %","16885"
"Taylor Clarke","Diamondbacks",".250","1","0.0 %","40.0 %",".250","23.1 %","46.2 %","30.8 %","57","82.6 %","71.4 %","50.6 %","","15.4 %","6.6 %","3.3 %","0.60","","-9.86","-5.87","18.43","45.0 %","47.1 %","46.2 %","55.6 %","83.3 %","71.4 %","33.3 %","53.3 %","13.3 %","17611"
"Sheldon Neuse","Athletics",".250","0","6.6 %","31.1 %",".295","31.6 %","42.1 %","26.3 %","63","78.3 %","70.2 %","32.2 %","3.9 %","18.0 %","11.0 %","18.0 %","-2.40","-6.98","-0.82","-1.65","-0.47","34.8 %","63.3 %","47.8 %","60.4 %","77.0 %","70.5 %","29.0 %","47.4 %","23.7 %","19635"
"David Lough","- - -",".214","4","6.3 %","19.7 %",".277","18.5 %","43.3 %","38.2 %","59","91.3 %","79.4 %","37.8 %","6.1 %","10.4 %","5.2 %","14.8 %","-1.15","-4.14","0.88","-3.00","-4.05","37.0 %","59.6 %","48.2 %","65.1 %","88.0 %","79.2 %","36.0 %","34.2 %","29.8 %","7215"
"Cliff Pennington","- - -",".220","9","8.9 %","25.4 %",".290","22.0 %","41.9 %","36.1 %","60","84.6 %","78.0 %","36.4 %","3.8 %","11.2 %","8.5 %","11.7 %","-0.74","-0.02","-3.06","-0.11","-2.71","28.3 %","62.0 %","45.3 %","62.6 %","85.1 %","78.1 %","41.6 %","29.3 %","29.1 %","3395"
"Chad Wallach","- - -",".202","2","8.5 %","34.2 %",".284","12.5 %","46.9 %","40.6 %","62","80.0 %","67.7 %","41.9 %","4.5 %","18.7 %","9.3 %","5.0 %","0.05","-6.17","0.54","-3.04","-7.90","29.2 %","70.7 %","49.3 %","38.6 %","79.9 %","67.3 %","32.3 %","30.8 %","36.9 %","17161"
"Taylor Ward","Angels",".181","7","7.7 %","34.9 %",".256","22.2 %","35.2 %","42.6 %","62","82.2 %","73.3 %","38.2 %","6.5 %","19.6 %","9.2 %","7.2 %","-1.69","-5.98","0.46","-4.31","-0.30","24.9 %","55.1 %","40.0 %","49.5 %","83.7 %","73.1 %","44.0 %","33.9 %","22.0 %","17548"
"Jose Rondon","- - -",".201","9","6.6 %","24.8 %",".260","19.0 %","48.7 %","32.3 %","61","80.1 %","75.7 %","42.3 %","5.9 %","18.0 %","5.8 %","7.2 %","-1.05","0.43","-1.23","3.67","-5.94","30.6 %","64.3 %","47.3 %","64.2 %","81.7 %","76.0 %","42.1 %","35.0 %","22.8 %","14140"
"Ryan Cordell","White Sox",".205","8","6.6 %","29.3 %",".267","16.6 %","36.7 %","46.7 %","60","80.8 %","70.4 %","36.4 %","6.7 %","18.9 %","7.6 %","10.5 %","-0.93","-1.99","-1.49","-2.38","-2.19","29.5 %","68.3 %","48.6 %","50.3 %","78.7 %","70.0 %","40.8 %","34.6 %","24.6 %","15181"
"Nicky Lopez","Royals",".240","2","4.5 %","12.7 %",".276","15.6 %","62.2 %","22.2 %","56","91.2 %","87.1 %","43.2 %","4.6 %","12.4 %","10.2 %","12.7 %","-1.12","0.01","-1.67","-1.25","-3.26","31.1 %","65.8 %","49.5 %","75.3 %","91.7 %","86.9 %","30.2 %","36.6 %","33.2 %","19339"
"Cedric Mullins II","Orioles",".197","4","7.9 %","19.2 %",".276","10.9 %","51.4 %","37.7 %","57","89.0 %","81.0 %","41.1 %","7.1 %","8.6 %","7.3 %","13.5 %","-1.75","-5.17","-0.10","1.48","-0.73","24.8 %","59.1 %","42.0 %","61.1 %","88.3 %","80.3 %","42.6 %","34.6 %","22.9 %","17929"
"Madison Bumgarner","Giants",".188","13","7.4 %","42.0 %",".248","17.6 %","43.6 %","38.8 %","61","70.2 %","57.5 %","32.6 %","5.4 %","20.2 %","10.9 %","8.5 %","-0.66","-1.19","-1.46","-3.57","-1.51","30.4 %","69.1 %","48.1 %","29.6 %","71.6 %","57.2 %","64.7 %","18.8 %","16.5 %","5524"
"Brock Stassi","Phillies",".167","2","13.3 %","24.4 %",".278","19.6 %","39.3 %","41.1 %","54","88.0 %","86.0 %","42.2 %","3.0 %","14.4 %","9.9 %","10.7 %","-1.85","-3.36","-0.27","-0.99","-1.14","26.6 %","58.7 %","42.2 %","85.5 %","87.0 %","86.5 %","32.1 %","42.9 %","25.0 %","12244"
"Jared Walsh","Angels",".203","1","6.9 %","40.2 %",".276","27.3 %","38.6 %","34.1 %","60","73.2 %","68.8 %","38.3 %","3.8 %","18.2 %","11.7 %","13.6 %","-0.85","-0.58","-1.19","-2.27","0.03","36.5 %","56.4 %","46.2 %","60.9 %","74.3 %","68.8 %","56.8 %","22.7 %","20.5 %","18607"
"Junior Lake","- - -",".200","2","6.5 %","32.5 %",".252","26.4 %","52.8 %","20.8 %","58","75.8 %","67.4 %","30.6 %","6.6 %","20.0 %","7.3 %","11.4 %","0.56","-4.45","-3.43","-2.52","0.48","31.9 %","65.8 %","47.2 %","39.6 %","83.8 %","67.4 %","48.0 %","29.3 %","22.7 %","4672"
"Ryan Court","Mariners",".208","1","4.0 %","44.0 %",".240","23.1 %","46.2 %","30.8 %","61","78.6 %","68.1 %","34.6 %","8.2 %","14.6 %","10.9 %","10.0 %","1.63","1.65","-5.08","-2.49","-5.95","27.5 %","55.9 %","42.7 %","42.9 %","78.8 %","68.1 %","30.8 %","23.1 %","46.2 %","12268"
"Rafael Ynoa","Rockies",".250","0","2.2 %","22.1 %",".267","18.6 %","49.0 %","32.4 %","45","91.8 %","83.5 %","37.9 %","5.5 %","10.3 %","7.5 %","10.8 %","-1.45","-4.54","0.18","-3.33","-2.23","40.2 %","65.6 %","53.3 %","71.7 %","90.3 %","83.5 %","29.1 %","38.8 %","32.0 %","2832"
"Dixon Machado","Tigers",".227","2","6.7 %","18.0 %",".285","22.4 %","49.5 %","28.1 %","57","90.2 %","81.2 %","39.2 %","3.9 %","16.9 %","7.3 %","7.2 %","-0.85","-0.65","-1.25","-3.11","-2.07","24.8 %","62.0 %","43.4 %","55.6 %","91.5 %","81.3 %","43.1 %","35.4 %","21.5 %","11472"
"Tyler Glasnow","- - -",".207","0","11.4 %","42.9 %",".324","8.3 %","83.3 %","8.3 %","59","65.6 %","56.9 %","28.8 %","3.4 %","0.9 %","15.3 %","3.4 %","0.22","1.15","-15.60","-8.57","7.67","32.8 %","55.0 %","44.1 %","47.4 %","63.6 %","57.7 %","26.7 %","53.3 %","20.0 %","14374"
"Raffy Lopez","- - -",".184","7","10.7 %","35.8 %",".269","18.6 %","33.0 %","48.5 %","59","76.9 %","68.0 %","39.8 %","3.8 %","9.9 %","9.2 %","12.0 %","0.18","-1.35","-4.99","-1.41","0.36","27.5 %","64.3 %","46.1 %","50.5 %","75.0 %","67.8 %","40.4 %","31.3 %","28.3 %","12606"
"JB Shuck","- - -",".219","4","7.6 %","11.4 %",".283","17.3 %","54.8 %","27.9 %","59","94.5 %","87.2 %","40.7 %","3.5 %","10.8 %","7.7 %","10.3 %","-1.29","0.59","0.83","-2.10","-3.97","28.2 %","58.3 %","43.6 %","69.6 %","95.3 %","87.2 %","35.4 %","38.7 %","25.9 %","6677"
"Zack Greinke","- - -",".231","5","3.3 %","20.7 %",".258","23.0 %","47.3 %","29.7 %","54","85.2 %","77.9 %","39.8 %","5.1 %","17.5 %","8.7 %","7.0 %","-2.74","3.36","-1.18","-2.74","-2.56","37.9 %","67.3 %","53.3 %","61.6 %","85.8 %","77.6 %","36.4 %","36.4 %","27.3 %","1943"
"Allen Cordoba","Padres",".208","4","7.9 %","23.8 %",".282","14.5 %","53.1 %","32.4 %","55","80.5 %","73.7 %","28.7 %","3.7 %","18.7 %","11.2 %","6.4 %","-2.78","-8.03","0.15","-0.81","-2.20","31.2 %","57.4 %","43.8 %","61.2 %","81.0 %","73.7 %","36.7 %","39.3 %","24.0 %","15722"
"Robert Andino","Marlins",".292","0","0.0 %","16.7 %",".292","20.0 %","50.0 %","30.0 %","59","81.8 %","77.3 %","33.8 %","","20.8 %","7.8 %","11.7 %","-5.26","","2.73","-2.59","6.15","33.3 %","72.3 %","57.1 %","60.0 %","82.4 %","77.3 %","25.0 %","30.0 %","45.0 %","4900"
"Mike Olt","- - -",".191","4","6.9 %","34.3 %",".255","13.6 %","52.5 %","33.9 %","58","68.9 %","64.6 %","50.5 %","8.1 %","11.3 %","6.3 %","11.1 %","-1.81","0.75","0.07","-4.97","-1.51","22.9 %","63.0 %","42.8 %","51.0 %","69.6 %","64.6 %","45.8 %","28.8 %","25.4 %","10698"
"Mat Latos","- - -",".250","1","0.0 %","23.8 %",".250","30.0 %","35.0 %","35.0 %","60","85.7 %","74.6 %","45.1 %","","10.7 %","15.6 %","4.9 %","-1.97","","-1.32","-7.30","0.39","35.3 %","62.0 %","50.8 %","38.9 %","88.6 %","74.2 %","21.9 %","46.9 %","31.3 %","3815"
"Mike Aviles","- - -",".225","7","5.9 %","13.4 %",".277","17.9 %","50.1 %","32.0 %","55","93.4 %","86.3 %","37.2 %","5.5 %","14.5 %","6.7 %","11.0 %","-2.62","-0.86","-0.82","0.14","0.17","28.6 %","62.2 %","45.4 %","69.8 %","93.9 %","86.3 %","36.0 %","37.9 %","26.1 %","5986"
"Bobby Bradley","Indians",".178","1","8.2 %","40.8 %",".245","24.0 %","44.0 %","32.0 %","51","75.5 %","63.2 %","33.0 %","1.1 %","29.3 %","14.1 %","8.9 %","3.10","-0.35","-5.51","2.98","-10.74","39.6 %","62.4 %","49.7 %","40.5 %","79.3 %","62.1 %","36.0 %","44.0 %","20.0 %","17278"
"Matt Skole","White Sox",".217","1","9.7 %","36.6 %",".290","24.0 %","36.0 %","40.0 %","57","76.8 %","70.4 %","40.2 %","5.8 %","12.1 %","7.6 %","15.5 %","-1.13","-2.13","-3.75","-0.27","-1.42","22.9 %","61.7 %","42.5 %","48.8 %","78.2 %","70.4 %","28.0 %","30.0 %","42.0 %","12119"
"Chris Stewart","- - -",".233","1","6.3 %","15.0 %",".291","22.5 %","48.2 %","29.3 %","56","92.0 %","85.4 %","44.6 %","4.2 %","15.8 %","5.3 %","5.3 %","-2.22","1.90","-0.71","0.55","0.09","23.3 %","55.4 %","39.6 %","69.6 %","92.1 %","85.6 %","41.2 %","34.2 %","24.6 %","3878"
"Sam Fuld","Athletics",".197","2","9.2 %","16.9 %",".276","18.1 %","59.5 %","22.4 %","59","93.3 %","85.3 %","41.9 %","8.3 %","11.4 %","7.2 %","9.7 %","-0.11","-4.78","-1.18","-1.08","0.24","22.5 %","50.2 %","36.7 %","62.8 %","95.3 %","85.5 %","47.5 %","36.1 %","16.4 %","8254"
"Grayson Greiner","Tigers",".207","5","8.8 %","30.0 %",".277","18.0 %","50.0 %","32.0 %","54","82.4 %","70.7 %","34.9 %","5.7 %","24.0 %","9.4 %","6.7 %","-0.62","0.95","-1.22","-4.01","-2.60","29.6 %","63.1 %","45.1 %","44.2 %","85.1 %","70.7 %","35.8 %","37.7 %","26.6 %","17062"
"Tim Federowicz","- - -",".189","7","5.2 %","36.6 %",".231","27.8 %","27.8 %","44.3 %","50","79.0 %","66.6 %","36.1 %","5.7 %","18.2 %","9.0 %","8.9 %","-0.98","1.61","-0.32","-4.08","-5.72","26.7 %","61.3 %","44.8 %","37.5 %","78.5 %","66.9 %","49.0 %","34.0 %","17.0 %","8609"
"Jose Lobaton","- - -",".191","10","9.9 %","22.3 %",".274","19.0 %","49.2 %","31.8 %","53","81.7 %","74.8 %","35.8 %","4.2 %","9.9 %","8.3 %","12.9 %","-1.90","-2.42","0.61","-0.86","-1.70","28.6 %","69.5 %","48.2 %","60.6 %","81.2 %","74.8 %","39.1 %","31.7 %","29.2 %","4243"
"Rafael Ortega","- - -",".227","3","7.0 %","15.4 %",".281","19.8 %","50.3 %","29.9 %","57","92.1 %","85.5 %","37.9 %","3.7 %","12.9 %","9.5 %","10.8 %","-0.65","0.06","-4.07","-0.71","-0.49","31.3 %","60.2 %","46.2 %","72.8 %","91.4 %","85.3 %","39.6 %","34.0 %","26.4 %","10323"
"Taylor Motter","- - -",".191","10","8.8 %","21.7 %",".263","19.0 %","44.4 %","36.6 %","57","89.2 %","81.4 %","35.8 %","4.8 %","17.5 %","7.3 %","11.8 %","-1.33","-2.61","-1.18","-0.42","-3.02","26.1 %","61.0 %","43.6 %","58.8 %","90.9 %","81.3 %","52.3 %","27.0 %","20.7 %","12399"
"Yu-Cheng Chang","Indians",".178","1","13.1 %","26.2 %",".286","15.7 %","51.0 %","33.3 %","50","90.3 %","77.5 %","36.6 %","7.7 %","21.1 %","7.7 %","11.0 %","0.02","-1.19","-2.55","-6.07","-5.82","28.4 %","68.8 %","47.6 %","56.0 %","86.4 %","76.9 %","37.3 %","37.3 %","25.5 %","14773"
"Nick Buss","Angels",".198","1","6.7 %","26.7 %",".247","17.5 %","38.6 %","43.9 %","57","89.5 %","81.0 %","38.7 %","4.1 %","15.8 %","8.5 %","9.7 %","-2.99","-8.28","-4.82","-1.89","0.46","42.1 %","63.8 %","52.5 %","66.7 %","91.4 %","81.0 %","31.7 %","45.0 %","23.3 %","6835"
"Garrett Stubbs","Astros",".200","0","10.3 %","17.9 %",".282","17.9 %","50.0 %","32.1 %","57","93.3 %","81.6 %","28.4 %","8.7 %","13.4 %","13.4 %","9.5 %","-4.53","5.58","-4.65","-0.56","-0.94","47.8 %","74.1 %","59.8 %","69.7 %","90.7 %","81.6 %","25.0 %","39.3 %","35.7 %","18067"
"Jake Elmore","- - -",".211","2","10.1 %","16.3 %",".295","22.9 %","46.7 %","30.4 %","55","91.2 %","87.1 %","45.3 %","4.4 %","16.4 %","5.9 %","8.0 %","-0.71","-0.83","-0.99","-0.92","-4.73","21.4 %","56.6 %","40.1 %","74.0 %","91.9 %","87.5 %","32.3 %","37.7 %","30.0 %","7290"
"Franklin Barreto","Athletics",".189","9","3.3 %","40.7 %",".220","12.3 %","39.5 %","48.2 %","57","78.5 %","64.5 %","27.0 %","6.0 %","21.7 %","10.2 %","10.1 %","-2.25","3.96","-2.75","-4.14","1.72","37.6 %","59.3 %","47.9 %","45.5 %","77.9 %","64.4 %","41.4 %","31.9 %","26.7 %","15519"
"Stephen Cardullo","Rockies",".190","2","6.6 %","20.9 %",".253","24.6 %","32.3 %","43.1 %","37","86.9 %","76.2 %","40.5 %","7.7 %","16.7 %","8.2 %","9.3 %","-3.61","-0.34","2.95","3.29","-0.42","38.1 %","72.0 %","55.0 %","59.7 %","85.3 %","76.4 %","36.9 %","33.9 %","29.2 %","11204"
"Jesus Sucre","- - -",".224","10","4.5 %","16.4 %",".266","20.5 %","44.3 %","35.2 %","56","91.5 %","81.2 %","35.2 %","5.9 %","17.8 %","6.8 %","8.0 %","-2.23","-4.06","-2.40","-1.86","-0.55","32.3 %","64.1 %","48.2 %","61.9 %","91.0 %","81.3 %","30.8 %","38.8 %","30.4 %","5942"
"Carlos Perez","- - -",".215","11","5.1 %","18.7 %",".257","18.7 %","40.2 %","41.1 %","56","90.9 %","81.1 %","37.0 %","4.4 %","17.1 %","7.2 %","7.9 %","-1.67","0.68","-2.46","-1.63","-0.58","29.6 %","64.3 %","46.3 %","59.7 %","91.8 %","81.2 %","38.9 %","33.6 %","27.5 %","10642"
"Micah Johnson","- - -",".224","0","6.9 %","26.7 %",".291","21.3 %","57.3 %","21.3 %","55","84.9 %","79.1 %","47.3 %","5.4 %","12.2 %","6.7 %","8.5 %","-0.69","-3.00","-0.78","-0.32","-1.16","34.4 %","60.4 %","47.1 %","69.5 %","85.0 %","79.2 %","31.0 %","26.2 %","42.9 %","13809"
"Richie Martin Jr.","Orioles",".208","6","4.5 %","26.9 %",".260","19.8 %","49.5 %","30.7 %","50","82.6 %","74.4 %","41.8 %","7.4 %","16.1 %","6.8 %","8.1 %","-0.77","-3.20","-2.80","-3.03","-3.32","36.2 %","68.8 %","52.6 %","58.6 %","83.0 %","74.6 %","31.7 %","37.6 %","30.7 %","17736"
"Taylor Davis","Cubs",".222","1","5.1 %","23.1 %",".256","10.7 %","57.1 %","32.1 %","51","78.7 %","72.7 %","41.4 %","10.0 %","20.7 %","6.4 %","7.1 %","-4.49","4.39","5.95","12.26","-10.29","28.8 %","78.4 %","55.0 %","47.4 %","81.0 %","72.7 %","39.3 %","28.6 %","32.1 %","12782"
"Allan Dykstra","Rays",".129","1","15.8 %","31.6 %",".289","15.8 %","52.6 %","31.6 %","57","68.3 %","60.0 %","29.3 %","10.7 %","7.3 %","8.0 %","13.3 %","2.36","-1.90","-6.38","-1.47","3.64","19.8 %","59.4 %","38.0 %","37.5 %","68.3 %","59.7 %","63.2 %","10.5 %","26.3 %","9113"
"Dylan Cozens","Phillies",".154","1","13.3 %","53.3 %",".267","20.0 %","46.7 %","33.3 %","53","63.0 %","51.1 %","38.3 %","4.0 %","17.9 %","14.4 %","5.5 %","1.14","-4.11","-3.33","-2.12","2.39","34.7 %","63.5 %","45.3 %","38.6 %","63.8 %","51.7 %","46.7 %","40.0 %","13.3 %","15115"
"Tyler Wade","Yankees",".197","3","8.3 %","29.0 %",".268","13.5 %","53.9 %","32.6 %","53","85.7 %","75.1 %","36.2 %","3.8 %","16.6 %","8.1 %","12.3 %","-1.37","-7.53","-2.05","-4.36","-1.60","29.1 %","64.8 %","46.6 %","54.5 %","85.0 %","75.3 %","39.3 %","36.0 %","24.7 %","15730"
"Corey Hart","Pirates",".222","2","1.8 %","33.3 %",".246","22.2 %","52.8 %","25.0 %","55","70.6 %","60.6 %","28.9 %","7.2 %","13.9 %","12.4 %","7.7 %","-6.28","-2.37","4.22","-1.56","-7.72","35.7 %","77.1 %","56.2 %","40.0 %","70.3 %","60.6 %","55.6 %","22.2 %","22.2 %","1945"
"Noel Cuevas","Rockies",".230","2","3.9 %","15.5 %",".265","18.2 %","47.1 %","34.7 %","39","92.1 %","81.5 %","29.6 %","6.4 %","17.9 %","10.9 %","11.3 %","-3.54","1.84","0.57","-4.19","-1.71","42.1 %","75.5 %","57.8 %","61.7 %","94.0 %","81.5 %","41.1 %","37.1 %","21.8 %","11894"
"Bud Norris","- - -",".194","0","7.1 %","19.0 %",".286","40.0 %","40.0 %","20.0 %","61","92.3 %","83.3 %","55.1 %","1.6 %","13.4 %","8.7 %","0.8 %","-2.09","-17.38","4.25","-3.97","-17.43","33.3 %","59.7 %","47.2 %","65.0 %","92.5 %","83.3 %","36.7 %","23.3 %","40.0 %","9492"
"Will Middlebrooks","- - -",".203","9","4.7 %","25.6 %",".238","21.5 %","38.8 %","39.7 %","55","83.4 %","72.2 %","33.9 %","6.0 %","20.1 %","8.1 %","9.2 %","-1.19","-0.64","-2.66","-1.76","-2.87","32.5 %","61.6 %","46.2 %","51.4 %","84.8 %","72.3 %","35.9 %","36.3 %","27.9 %","7002"
"Jesmuel Valentin","Phillies",".177","1","9.0 %","27.0 %",".258","26.8 %","28.6 %","44.6 %","52","84.3 %","77.6 %","41.8 %","4.3 %","8.2 %","10.1 %","12.8 %","-1.41","-1.89","7.01","-1.11","-4.80","24.2 %","58.4 %","40.4 %","64.6 %","82.7 %","77.0 %","44.6 %","35.7 %","19.6 %","14548"
"Dustin Peterson","- - -",".217","0","4.1 %","30.6 %",".265","22.6 %","48.4 %","29.0 %","50","82.1 %","74.8 %","38.2 %","7.0 %","24.6 %","6.0 %","5.5 %","-2.45","2.51","-2.55","5.35","12.68","40.6 %","70.4 %","55.3 %","61.0 %","82.6 %","74.6 %","41.9 %","32.3 %","25.8 %","15189"
"David Freitas","- - -",".200","1","8.4 %","23.8 %",".268","23.9 %","46.7 %","29.3 %","55","86.7 %","79.9 %","38.6 %","5.5 %","18.5 %","8.6 %","5.8 %","0.48","-4.04","-3.10","-3.38","1.69","25.2 %","72.9 %","48.5 %","58.9 %","86.6 %","79.3 %","45.2 %","34.4 %","20.4 %","10619"
"Christian Bethancourt","- - -",".214","8","4.0 %","24.8 %",".245","16.7 %","48.3 %","35.0 %","52","79.5 %","71.5 %","34.0 %","7.2 %","19.9 %","8.5 %","5.9 %","-2.16","-2.34","-0.52","-1.45","-1.13","43.6 %","74.5 %","58.7 %","60.1 %","78.6 %","71.5 %","43.0 %","34.2 %","22.8 %","10028"
"Isan Diaz","Marlins",".173","5","9.5 %","29.4 %",".259","13.4 %","41.2 %","45.4 %","53","84.7 %","73.5 %","29.0 %","5.2 %","15.9 %","8.4 %","18.5 %","-0.63","0.56","-1.98","-1.11","-3.08","21.8 %","56.7 %","37.7 %","46.4 %","85.9 %","73.5 %","41.3 %","30.6 %","28.1 %","17922"
"Gavin Cecchini","Mets",".217","1","4.5 %","23.6 %",".270","19.4 %","43.5 %","37.1 %","53","88.9 %","80.4 %","34.5 %","2.2 %","23.1 %","11.1 %","8.2 %","-0.22","-3.13","-5.32","5.87","-5.94","41.6 %","63.9 %","52.5 %","67.2 %","88.9 %","80.1 %","48.4 %","24.2 %","27.4 %","17005"
"Tomas Telis","- - -",".223","1","3.1 %","12.2 %",".265","20.5 %","54.0 %","25.5 %","52","91.1 %","87.4 %","37.6 %","2.3 %","16.5 %","8.4 %","10.5 %","-2.57","-2.92","-1.35","3.46","0.12","32.4 %","56.7 %","44.6 %","80.3 %","91.3 %","87.4 %","27.3 %","37.9 %","34.8 %","10067"
"Travis Taijeron","Mets",".173","1","8.5 %","40.7 %",".271","21.4 %","50.0 %","28.6 %","52","83.1 %","72.2 %","36.6 %","7.7 %","13.4 %","11.4 %","11.8 %","0.97","-1.47","-4.68","-2.46","-3.05","23.9 %","53.5 %","39.4 %","35.7 %","87.0 %","72.2 %","53.6 %","17.9 %","28.6 %","11935"
"Jaff Decker","- - -",".185","0","12.3 %","25.8 %",".291","31.1 %","37.8 %","31.1 %","53","84.9 %","77.1 %","39.7 %","3.0 %","14.7 %","8.0 %","9.8 %","-0.13","-4.75","-2.19","-3.50","1.76","24.8 %","57.1 %","41.4 %","55.8 %","85.6 %","77.0 %","39.0 %","32.6 %","28.4 %","7945"
"Michael Martinez","- - -",".226","1","5.5 %","27.6 %",".270","25.2 %","43.5 %","31.3 %","48","86.1 %","75.9 %","35.7 %","2.7 %","12.7 %","9.8 %","11.6 %","-1.26","-1.79","-3.90","0.68","-1.70","38.1 %","66.0 %","52.4 %","59.3 %","85.1 %","76.0 %","29.8 %","39.7 %","30.6 %","7358"
"Bubba Starling","Royals",".215","4","4.6 %","28.4 %",".255","23.6 %","42.5 %","33.9 %","47","87.6 %","71.5 %","39.7 %","5.4 %","23.6 %","8.7 %","8.5 %","-2.70","0.81","-2.54","-1.58","-3.92","30.4 %","69.0 %","49.2 %","34.0 %","88.7 %","71.3 %","48.9 %","29.8 %","21.4 %","13356"
"Alexi Amarista","- - -",".225","6","5.7 %","17.4 %",".268","22.5 %","47.5 %","30.0 %","48","91.2 %","84.9 %","43.7 %","4.9 %","8.9 %","8.5 %","10.6 %","-1.79","-2.21","-2.05","-1.30","-0.76","35.1 %","59.5 %","47.7 %","75.7 %","89.7 %","84.7 %","31.7 %","40.5 %","27.9 %","9063"
"Jordan Pacheco","- - -",".205","2","7.0 %","21.7 %",".264","25.3 %","44.0 %","30.8 %","47","88.7 %","80.5 %","38.0 %","4.1 %","17.6 %","7.0 %","7.2 %","-2.58","-1.83","-1.91","-0.38","1.48","28.3 %","60.2 %","43.2 %","69.9 %","86.0 %","80.4 %","40.7 %","38.5 %","20.9 %","2677"
"Carlos Tocci","Rangers",".225","0","5.2 %","28.9 %",".271","22.8 %","44.3 %","32.9 %","42","92.1 %","80.3 %","36.1 %","5.9 %","16.5 %","4.6 %","7.0 %","-1.91","-1.93","-2.02","-2.08","1.35","34.8 %","56.7 %","45.4 %","61.1 %","92.4 %","79.9 %","42.1 %","35.2 %","22.7 %","14558"
"Donnie Walton","Mariners",".188","0","15.8 %","26.3 %",".316","18.2 %","45.5 %","36.4 %","53","71.4 %","65.2 %","44.7 %","1.2 %","8.2 %","15.3 %","9.4 %","0.52","0.00","1.34","2.89","-3.58","34.8 %","76.9 %","54.1 %","50.0 %","73.3 %","65.2 %","45.5 %","9.1 %","45.5 %","19314"
"John Andreoli","- - -",".230","0","7.5 %","28.4 %",".284","20.9 %","30.2 %","48.8 %","50","86.5 %","78.1 %","33.9 %","3.2 %","26.1 %","5.0 %","14.3 %","-0.14","-9.78","1.22","-2.86","-6.24","30.1 %","58.4 %","43.9 %","60.5 %","86.3 %","77.2 %","30.2 %","30.2 %","39.5 %","13012"
"Tyson Ross","- - -",".224","2","2.6 %","31.3 %",".250","29.3 %","50.0 %","20.7 %","59","83.2 %","75.5 %","44.9 %","5.7 %","14.5 %","7.9 %","3.7 %","-2.47","-1.12","1.82","-5.26","-8.37","25.6 %","53.7 %","41.4 %","58.8 %","82.5 %","76.1 %","24.0 %","42.7 %","33.3 %","7872"
