"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"George Springer","Astros",".274","140","11.1 %","21.1 %",".364","19.3 %","47.4 %","33.2 %","134","81.6 %","75.3 %","34.3 %","5.7 %","18.9 %","6.9 %","10.2 %","1.97","-0.12","0.15","2.53","1.05","23.1 %","69.9 %","45.3 %","56.9 %","81.9 %","75.2 %","39.1 %","36.8 %","24.1 %","12856"
"Rhys Hoskins","Phillies",".239","81","15.2 %","23.4 %",".364","20.4 %","29.3 %","50.3 %","125","86.1 %","79.3 %","34.2 %","5.9 %","20.8 %","8.4 %","10.2 %","0.83","-0.12","-0.15","0.47","0.80","22.3 %","58.3 %","39.1 %","62.0 %","86.5 %","79.0 %","48.8 %","31.7 %","19.6 %","16472"
"David Dahl","Rockies",".297","38","6.7 %","25.7 %",".346","23.9 %","41.9 %","34.2 %","111","79.2 %","71.8 %","35.0 %","6.2 %","15.7 %","10.8 %","12.7 %","1.85","1.08","-0.86","0.37","0.10","39.5 %","70.0 %","53.3 %","61.2 %","79.2 %","71.9 %","38.7 %","34.7 %","26.6 %","13744"
"Tommy Pham","- - -",".277","79","12.2 %","23.3 %",".373","22.6 %","50.8 %","26.5 %","130","86.8 %","77.7 %","34.7 %","6.1 %","19.8 %","9.0 %","7.6 %","1.52","-0.01","0.43","1.11","2.16","20.9 %","58.4 %","39.1 %","53.7 %","86.9 %","77.7 %","36.8 %","37.3 %","26.0 %","2967"
"Miguel Cabrera","Tigers",".297","87","11.4 %","18.3 %",".379","24.7 %","42.7 %","32.5 %","128","86.3 %","78.5 %","37.1 %","5.4 %","17.4 %","8.2 %","8.5 %","0.71","2.37","0.36","-0.69","1.07","31.7 %","68.9 %","48.7 %","63.7 %","86.5 %","78.4 %","34.9 %","34.3 %","30.8 %","1744"
"Jesse Winker","Reds",".285","30","11.9 %","15.2 %",".379","23.9 %","46.8 %","29.3 %","122","90.0 %","84.4 %","34.8 %","6.9 %","15.5 %","9.2 %","12.4 %","1.17","-0.79","0.42","0.79","0.27","24.5 %","61.9 %","42.6 %","72.5 %","89.5 %","84.5 %","39.0 %","36.9 %","24.1 %","13590"
"Matt Carpenter","Cardinals",".255","123","14.4 %","22.2 %",".369","25.9 %","28.9 %","45.2 %","129","87.7 %","79.8 %","37.8 %","5.0 %","13.3 %","7.1 %","11.5 %","1.22","1.29","-0.29","1.29","-0.21","21.3 %","54.7 %","37.6 %","60.2 %","87.6 %","79.7 %","45.7 %","32.1 %","22.2 %","8090"
"Corey Seager","Dodgers",".294","73","9.2 %","19.2 %",".362","23.8 %","43.4 %","32.8 %","128","87.5 %","77.3 %","36.3 %","5.8 %","17.2 %","7.6 %","13.4 %","1.15","-0.68","1.04","1.03","0.40","32.4 %","74.8 %","51.3 %","57.1 %","88.1 %","77.3 %","37.0 %","35.5 %","27.6 %","13624"
"Brandon Nimmo","Mets",".254","31","15.2 %","26.8 %",".387","23.3 %","42.9 %","33.8 %","130","84.0 %","76.5 %","39.3 %","4.7 %","13.0 %","9.0 %","10.7 %","0.72","1.82","1.19","1.24","0.07","20.8 %","59.7 %","39.6 %","54.5 %","84.7 %","76.5 %","39.8 %","32.9 %","27.3 %","12927"
"Luis Arraez","Twins",".334","4","9.8 %","7.9 %",".399","29.4 %","41.5 %","29.1 %","125","95.4 %","93.3 %","41.2 %","6.0 %","11.9 %","10.0 %","11.4 %","0.41","0.24","0.21","0.31","1.99","26.7 %","57.1 %","42.1 %","88.7 %","95.1 %","93.1 %","29.0 %","34.3 %","36.7 %","18568"
"Daniel Murphy","- - -",".307","87","6.7 %","11.3 %",".355","23.9 %","37.6 %","38.5 %","121","94.9 %","88.8 %","37.2 %","4.9 %","14.0 %","8.4 %","11.7 %","1.11","-0.39","1.16","-0.16","-0.19","32.0 %","65.4 %","48.2 %","77.3 %","94.7 %","88.7 %","39.3 %","33.1 %","27.7 %","4316"
"Jose Ramirez","Indians",".281","108","10.0 %","11.3 %",".356","20.8 %","38.1 %","41.2 %","123","92.2 %","87.9 %","35.0 %","3.8 %","13.9 %","8.3 %","14.7 %","0.81","0.03","0.08","1.87","1.00","25.4 %","58.8 %","41.7 %","78.4 %","92.2 %","87.9 %","45.7 %","31.0 %","23.3 %","13510"
"Mitch Garver","Twins",".266","38","10.2 %","23.3 %",".346","18.0 %","39.8 %","42.2 %","126","87.1 %","78.4 %","37.2 %","5.2 %","20.9 %","7.5 %","9.6 %","1.16","-0.70","0.31","-0.84","0.62","19.1 %","54.0 %","36.9 %","54.0 %","86.5 %","78.3 %","45.0 %","30.9 %","24.1 %","15161"
"Chris Colabello","Blue Jays",".301","15","6.1 %","26.8 %",".349","24.0 %","48.8 %","27.1 %","128","77.9 %","71.3 %","33.7 %","5.6 %","16.8 %","8.6 %","11.2 %","0.96","-1.00","-0.11","-0.82","-0.78","31.0 %","71.9 %","50.1 %","55.5 %","78.9 %","71.2 %","33.7 %","38.8 %","27.5 %","13051"
"Matt Olson","Athletics",".254","89","10.3 %","25.2 %",".343","21.2 %","34.7 %","44.1 %","130","78.2 %","73.9 %","34.2 %","5.0 %","14.8 %","9.3 %","11.1 %","0.25","-0.60","0.40","3.06","0.69","26.9 %","64.7 %","44.5 %","66.2 %","77.3 %","73.7 %","47.1 %","31.4 %","21.5 %","14344"
"Aristides Aquino","Reds",".257","19","7.1 %","27.0 %",".314","20.4 %","34.7 %","44.9 %","118","76.0 %","65.5 %","28.5 %","8.3 %","19.5 %","10.8 %","9.5 %","-0.82","0.82","2.09","0.98","1.49","41.6 %","80.2 %","56.2 %","54.0 %","76.1 %","65.9 %","49.7 %","28.6 %","21.8 %","15482"
